"","id","age","gender","education","employment","cy_sesh_score","cy_sesh_policies1","cy_sesh_deletion3","cy_sesh_deletion1","cy_sesh_communication3","cy_sesh_collection1","cy_sesh_understanding1","cy_sesh_connecting1","cy_sesh_patterns4","cy_sesh_patterns5","cy_sesh_help1","cy_sesh_purchase3","cy_sesh_threats5","cy_sesh_updates3","rse_score","rse1","rse2","rse3","rse4","rse5","rse6","rse7","rse8","rse9","rse10","lotr_score","lot1","lot2","lot3","lot4","lot5","lot6","lot7","lot8","lot9","lot10","seis_score","seis1","seis2","seis3","seis4","seis5","seis6","seis7","seis8","seis9","seis10","seis11","attentioncheck2","attentioncheck3","attentioncheck4"
"1",1,"39","Female","Bachelor's Degree","Employed Full-Time",5.41666666666667,5,6,7,5,5,6,6,6,4,2,7,6,"Moderately certain can do",37,4,4,4,3,3,4,4,3,4,4,21,3,4,4,3,3,3,4,3,4,3,5.90909090909091,6,7,6,5,6,7,5,5,5,6,7,7,4,1
"2",2,"52","Female","Bachelor's Degree","Employed Full-Time",5.91666666666667,5,3,6,6,7,7,6,5,6,6,7,7,"6",40,4,4,4,4,4,4,4,4,4,4,24,4,4,4,4,4,2,4,4,4,4,6.72727272727273,6,6,7,7,7,7,7,7,7,6,7,7,4,1
"3",3,"31","Female","Secondary School","Employed Full-Time",4.66666666666667,5,4,4,6,5,4,5,4,3,3,7,6,"5",29,3,3,4,3,3,2,3,2,3,3,7,1,1,1,3,3,3,0,0,1,1,5.18181818181818,5,5,5,6,6,5,5,4,6,5,5,7,4,1
"4",4,"37","Female","Bachelor's Degree","Employed Full-Time",5.25,5,5,5,6,5,5,5,5,6,5,5,6,"5",23,2,2,3,3,2,2,3,2,2,2,12,2,1,1,3,3,3,2,1,1,3,5.54545454545455,5,5,5,6,6,6,6,5,6,5,6,7,4,1
"5",5,"19","Female","Secondary School","Student",3.41666666666667,4,4,3,3,4,3,3,3,2,4,3,5,"Moderately certain can do",24,2,2,3,2,2,2,3,2,3,3,11,2,1,2,2,3,3,2,0,1,2,4.27272727272727,1,3,5,6,6,4,5,5,5,5,2,7,4,1
"6",6,"29","Female","Master's Degree","Employed Full-Time",3.5,5,2,4,6,5,1,2,4,2,4,4,3,"Moderately certain can do",24,2,2,3,3,3,2,3,1,3,2,7,1,1,1,2,4,2,1,2,1,1,2.81818181818182,1,1,1,4,6,4,3,1,1,4,5,7,4,1
"7",7,"28","Female","Master's Degree","Employed Full-Time",4.75,5,7,6,4,4,4,4,2,7,5,6,3,"5",34,3,3,3,3,4,4,3,4,4,3,19,3,4,3,3,4,4,3,2,3,4,4.18181818181818,2,5,3,5,6,3,3,5,5,6,3,7,4,1
"8",9,"25","Female","Bachelor's Degree","Employed Part-Time",4.41666666666667,3,6,6,3,4,3,5,5,4,4,6,4,"Highly certain can do",22,2,2,3,3,3,1,3,1,2,2,4,1,1,0,2,3,3,0,0,0,1,6.18181818181818,6,6,6,6,7,6,6,6,6,6,7,7,4,1
"9",10,"38","Male","Master's Degree","Employed Full-Time",4.16666666666667,4,4,4,7,4,3,4,4,4,4,4,4,"Highly certain can do",27,2,3,3,3,3,2,3,3,3,2,15,3,1,2,3,3,2,2,1,2,3,4.54545454545455,4,4,5,5,4,5,5,4,3,5,6,7,4,1
"10",11,"37","Female","Bachelor's Degree","Employed Part-Time",5.58333333333333,4,7,7,7,7,4,4,4,7,4,7,5,"Highly certain can do",28,3,3,3,3,3,2,3,2,3,3,17,2,3,3,3,4,3,3,3,3,3,5.54545454545455,3,3,6,6,7,6,6,6,6,6,6,7,4,1
"11",12,"20","Female","Secondary School","Student",4.33333333333333,5,6,3,4,4,4,5,3,5,4,4,5,"Moderately certain can do",32,3,3,4,4,3,3,3,2,3,4,19,3,3,3,3,3,3,3,2,3,4,5.18181818181818,5,5,5,6,5,4,6,5,5,6,5,7,4,1
"12",13,"53","Female","Prefer not to say","Employed Part-Time",2,1,1,2,4,4,1,1,3,2,2,2,1,"3",27,3,2,3,3,3,2,3,2,3,3,11,1,2,1,3,3,0,1,0,2,3,4.90909090909091,6,5,4,4,5,5,5,5,5,5,5,7,4,1
"13",14,"49","Female","Secondary School","Other:",6.75,7,7,7,7,7,7,7,7,7,4,7,7,"Highly certain can do",31,3,3,3,4,4,3,3,2,3,3,13,2,2,2,2,2,4,3,1,2,2,6.81818181818182,7,7,5,7,7,7,7,7,7,7,7,7,4,1
"14",15,"39","Male","Trade School","Seeking opportunities",4,4,3,7,2,4,7,3,4,2,3,2,7,"Moderately certain can do",24,3,2,3,3,2,2,2,3,2,2,8,1,3,0,1,3,1,2,1,1,3,6.90909090909091,7,7,7,7,7,7,7,7,7,7,6,7,4,1
"15",16,"47","Male","Master's Degree","Employed Full-Time",4.83333333333333,4,6,4,5,7,7,4,3,3,4,5,6,"Highly certain can do",38,4,4,4,4,4,3,4,4,4,3,19,3,3,3,4,3,3,3,3,3,3,5.54545454545455,5,6,6,6,5,6,6,6,6,6,3,7,4,1
"16",17,"61","Male","Bachelor's Degree","Employed Full-Time",4.91666666666667,5,4,5,5,6,5,5,5,4,5,6,4,"5",29,3,3,3,3,3,3,3,2,3,3,15,2,3,3,2,2,3,3,3,3,2,4.27272727272727,4,4,5,4,4,4,4,5,5,4,4,7,4,1
"17",18,"28","Female","Master's Degree","Employed Full-Time",4.33333333333333,4,4,4,5,5,5,5,3,4,4,5,4,"6",28,3,2,3,3,3,2,3,3,3,3,11,2,1,2,2,3,3,1,2,3,1,4.63636363636364,3,4,5,5,6,5,5,4,5,5,4,7,4,1
"18",19,"39","Male","Master's Degree","Employed Full-Time",3.75,4,4,4,3,3,3,4,3,3,5,5,4,"Moderately certain can do",27,3,2,3,3,3,2,3,2,3,3,16,2,1,3,2,3,1,3,1,3,3,5.90909090909091,5,5,7,6,7,7,5,6,5,6,6,7,4,1
"19",20,"21","Female","Bachelor's Degree","Student",4.58333333333333,5,5,5,3,5,7,6,4,4,3,4,4,"5",28,3,2,3,3,3,2,3,3,3,3,14,1,2,3,3,4,4,2,2,2,3,5.90909090909091,5,5,7,6,6,6,6,6,6,6,6,7,4,1
"20",21,"22","Female","Secondary School","Employed Full-Time",4.16666666666667,5,2,6,4,3,5,4,3,4,6,2,6,"Highly certain can do",14,1,1,2,2,1,1,2,1,2,1,1,0,0,0,0,4,4,0,1,1,0,4.18181818181818,2,2,3,5,7,6,3,3,5,7,3,7,4,1
"21",22,"31","Female","Secondary School","Seeking opportunities",3.75,3,5,4,4,4,4,4,3,3,3,3,5,"Highly certain can do",18,2,1,2,2,2,1,2,2,2,2,6,0,2,0,2,2,3,1,1,1,2,4.36363636363636,3,3,4,5,6,4,5,5,3,5,5,7,4,1
"22",23,"39","Female","Bachelor's Degree","Employed Full-Time",3.58333333333333,3,4,3,3,4,3,4,4,3,4,4,4,"3",33,3,3,3,3,4,3,3,4,4,3,18,3,3,2,3,4,2,3,3,4,3,4.72727272727273,3,5,5,5,5,5,3,5,5,6,5,7,4,1
"23",24,"41","Female","Ph.D. or higher","Employed Full-Time",4,5,5,4,5,5,4,4,3,3,3,4,3,"5",30,3,3,4,4,3,2,3,2,3,3,8,1,0,2,2,3,1,1,2,1,1,4.81818181818182,3,3,6,6,7,4,5,3,5,6,5,7,4,1
